district,Andaman_and_Nicobar,Andhra_Pradesh,Arunachal_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Countries_in_Africa,Countries_in_America,Countries_in_Asia_beyond_India,Countries_in_Europe,Countries_in_Oceania,Dadra_and_Nagar_Haveli,Daman_and_Diu,Delhi,Elsewhere_in_the_district_of_enumeration,Goa,Gujarat,Haryana,Himachal_Pradesh,Jammu_and_Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Last_residence_elsewhere_in_India,Madhya_Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,States_in_India_beyond_the_state_of_enumeration,Tamil_Nadu,Total,Tripura,Uttar_Pradesh,Uttaranchal,West_Bengal,Within_the_state_of_enumeration_but_outside_the_place_of_enumeration
Dimapur,3,256,116,22666,7818,14,80,23,39,2297,18,10,0,2,107,44583,4,152,261,179,114,898,92,500,0,131749,160,210,2545,303,89,40388,887,21,279,1799,64,46778,275,134136,1790,2245,531,2318,84971
Chamoli,1,49,40,137,1075,35,176,7,759,3897,7,23,0,0,408,102383,2,75,319,396,198,882,85,116,0,129922,158,139,17,10,7,75,75,2,332,234,15,9963,87,134615,14,4531,17576,273,119959
Kolasib,0,8,0,2775,141,0,0,0,0,257,0,0,0,0,3,7363,5,3,7,3,7,79,10,29,0,18324,4,15,1076,108,6351,32,3,0,4,3,5,4610,7,18581,208,19,4,52,13714
Kendrapara,6,203,0,63,161,11,79,1,2,2033,2,3,2,1,275,287791,3,210,76,7,14,203,36,31,0,355076,111,108,3,0,4,2,51731,6,55,82,9,15554,22,357117,17,141,2,13611,339522
Gurgaon,21,1605,9,1852,18202,1455,1835,91,105,10309,81,12,15,7,54243,160278,64,919,136911,1879,1150,1651,830,1350,0,543157,3470,2399,113,93,12,67,2033,28,7163,67260,14,245968,1224,553755,38,61605,4598,8764,297189
Ludhiana,7,656,6,1398,101516,8948,691,226,364,47566,210,14,1,0,13763,671449,82,1437,38196,22191,4051,5398,1370,1217,0,1449847,4359,4430,58,56,3,19,2046,14,344240,12507,50,434158,713,1498228,19,185896,11018,12042,1015689
Ariyalur,4,179,4,38,511,0,0,4,22,210,1,0,0,0,10,147246,0,11,8,1,3,22,113,166,0,185907,26,136,1,1,0,0,58,160,10,17,0,1557,37104,186144,0,50,0,28,184350
Satna,4,314,9,96,3690,17,4119,1,0,2094,0,10,3,0,333,391329,6,554,495,27,50,665,89,433,0,579381,134076,1515,8,2,0,3,287,0,398,1295,2,53976,109,581486,2,38136,149,1166,525405
Viluppuram,8,590,11,23,37,14,0,11,11,819,20,0,0,0,171,638736,10,200,3,0,16,2,1368,697,0,778937,80,1139,3,0,0,0,31,29569,14,343,4,34449,105752,779798,0,85,4,27,744488
Punch,0,7,0,13,43,1,0,1,0,146,0,0,0,0,11,22754,0,44,27,26,2116,2,2,20,0,25467,4,23,6,0,0,8,3,0,199,31,1,597,5,25614,6,84,14,17,24870
Sonbhadra,2,382,14,270,25168,60,3702,32,15,425,2,69,0,3,471,244717,1,228,1431,127,53,29165,127,1070,1,441563,13967,494,52,13,2,389,655,2,756,1823,8,84924,198,442106,29,111922,1519,2742,356639
Burhanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,2,1166,1910,60603,18242,21,80,2,5,5198,3,2,0,0,186,188516,7,69,690,46,78,740,88,148,0,286756,232,109,292,435,34,279,800,1,419,1430,162,37637,167,291966,1296,5568,71,2869,249119
Faizabad,4,81,14,308,4815,25,5713,8,3,729,40,4,1,0,411,369765,5,404,331,290,242,2766,52,55,0,521771,1212,466,62,15,13,55,1278,6,837,354,3,21660,25,522555,13,130346,515,1289,500111
Dewas,0,383,0,29,1655,18,1745,4,3,457,4,0,3,0,230,255340,7,949,195,45,51,134,742,553,0,469077,191699,4989,1,4,2,8,230,2,300,3725,0,22038,206,469545,3,5032,197,600,447039
Bangalore,261,164080,260,3873,18456,1129,919,951,1364,9159,939,201,30,21,12887,634446,1308,13980,4275,1089,2937,2942,1024562,117584,9,2532657,5693,38094,871,532,193,357,10716,3006,4557,42403,231,873649,373606,2545271,348,23694,1340,21968,1659008
Gumla,36,18,9,168,8316,182,5834,3,6,85,2,10,0,0,45,271205,6,67,114,24,23,30258,43,31,0,328089,237,88,13,22,2,15,9399,3,92,319,4,26626,24,328195,1,514,16,961,301463
Hathras,4,28,1,91,1621,21,58,16,5,270,3,6,6,0,1898,105630,3,165,712,23,27,98,31,26,0,326202,1234,259,8,3,1,7,110,1,136,4032,0,12089,41,326502,2,208483,288,1154,314113
Dharmapuri,25,4975,8,143,429,7,97,17,11,3566,14,6,1,2,187,519070,23,221,34,16,53,52,32051,2413,0,663446,158,798,15,6,2,6,507,467,76,596,4,44145,100231,667060,8,334,1,430,619301
Golaghat,0,54,78,42934,3371,4,95,5,0,972,0,0,0,0,37,189890,5,13,20,8,7,516,17,28,0,246252,125,41,159,191,25,5400,139,1,89,737,6,13428,37,247229,505,797,4,919,232824
