district,Andaman_and_Nicobar,Andhra_Pradesh,Arunachal_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Countries_in_Africa,Countries_in_America,Countries_in_Asia_beyond_India,Countries_in_Europe,Countries_in_Oceania,Dadra_and_Nagar_Haveli,Daman_and_Diu,Delhi,Elsewhere_in_the_district_of_enumeration,Goa,Gujarat,Haryana,Himachal_Pradesh,Jammu_and_Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Last_residence_elsewhere_in_India,Madhya_Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,States_in_India_beyond_the_state_of_enumeration,Tamil_Nadu,Total,Tripura,Uttar_Pradesh,Uttaranchal,West_Bengal,Within_the_state_of_enumeration_but_outside_the_place_of_enumeration
Dausa,0,10,0,14,259,38,42,5,3,74,0,3,0,0,1162,228809,0,345,554,24,16,58,21,52,0,353882,992,147,8,13,0,0,11,20,989,116634,0,8439,20,353967,9,3419,51,165,345443
Supaul,1,6,6,27,100034,13,1,2,4,11754,3,1,1,0,306,296164,2,130,70,1,5,640,7,16,0,400431,14,32,2,0,1,5,29,1,461,143,1,4233,130,412196,0,1770,11,401,396198
Bastar,0,1993,0,165,2245,104,37969,4,2,1250,3,16,0,0,92,267711,0,537,192,10,34,381,114,877,0,347293,4284,1218,4,0,0,0,21538,0,560,1725,2,41613,318,348568,22,3792,135,1271,305680
Anantnag,1,255,23,47,224,149,7,1,1,28,4,0,0,0,50,160815,0,11,442,561,20392,28,22,71,0,184906,65,20,9,4,8,5,29,0,261,95,7,3699,27,184940,6,547,604,121,181207
Nuapada,0,190,7,15,289,5,14756,3,0,25,0,3,0,0,14,105464,3,184,118,6,3,126,24,51,0,149139,267,204,0,1,0,0,26799,0,50,128,0,16876,47,149170,2,229,7,150,132263
West_Siang,1,27,2476,4420,1647,8,4,0,1,433,0,2,0,0,9,23085,5,11,43,55,17,174,11,218,0,34748,16,14,61,52,11,32,415,0,45,93,35,9187,67,35184,84,873,211,528,25561
Bishnupur,0,2,4,146,38,0,0,0,0,50,0,0,0,0,2,25329,0,7,2,0,2,1,3,1,0,28185,1,0,2579,3,17,15,0,0,0,0,0,277,2,28235,19,2,1,9,27908
Pune,309,47936,212,3444,24532,1476,7854,1231,726,14685,789,77,130,36,11915,1691888,4349,32041,6208,1579,4478,5334,154355,30229,5,3625464,23676,1390191,687,504,272,319,8033,175,8827,46425,149,543385,17574,3642974,170,78673,4428,17051,3082079
Nalbari,1,16,33,37988,867,1,64,1,1,2999,1,0,0,0,18,297789,0,18,62,12,21,455,7,14,0,339461,27,16,45,219,6,39,230,0,16,257,25,3684,14,342463,34,124,16,1027,335777
Shimla,3,183,47,184,2984,1862,407,11,27,13516,40,5,0,0,2954,185738,31,157,2973,61564,1798,1857,227,282,0,285642,428,481,18,61,18,41,264,12,8712,571,29,38340,134,299241,6,6406,4070,1140,247302
East_Garo_Hills,0,0,5,2889,218,2,0,0,3,162,1,0,0,0,3,25826,0,0,6,2,1,2,0,8,0,34048,0,2,22,4793,9,2,5,0,0,52,1,3429,4,34214,7,35,1,153,30619
Barddhaman,53,1825,49,4566,182355,133,2062,44,69,132909,26,7,3,8,1050,1354549,66,2257,1252,185,542,112000,477,789,0,2277752,1590,1324,124,120,6,78,15001,10,3650,3111,94,386514,781,2410807,904,49557,492,536689,1891238
Jorhat,11,302,293,29344,5421,156,13,1,2,868,5,1,0,0,230,195611,1,182,239,68,72,221,175,220,0,240538,160,269,154,177,31,380,217,1,363,1812,18,15583,176,241415,553,1958,157,1553,224955
Baramula,0,69,5,31,100,8,16,1,1,21,1,0,0,0,67,89002,1,293,125,81,6489,35,34,24,0,97818,78,39,1,4,0,0,31,4,504,120,0,2327,44,97842,4,322,51,236,95491
Kachchh,23,2873,4,307,3147,68,621,416,29,4766,188,1,11,110,447,420244,33,64129,1612,289,144,854,466,1416,0,529335,2379,7876,10,9,1,6,1720,23,1458,11265,8,44962,1082,534735,6,5102,276,1316,484373
Malkangiri,4,2210,6,26,96,24,4651,3,2,23946,0,1,0,0,15,82053,0,2,39,4,4,63,39,98,0,122543,1125,133,1,0,0,2,30148,0,24,150,0,10342,122,146495,17,241,30,1216,112201
Godda,0,4,0,38,52921,0,24,6,1,66,3,2,0,0,37,195250,0,26,16,1,5,18869,8,78,0,270084,93,182,2,1,7,0,42,0,20,24,1,55965,18,270162,1,786,9,1621,214119
Kheda,0,202,0,9,627,28,159,119,39,512,12,10,1,16,139,563814,10,170448,289,62,11,36,110,323,0,749857,2536,3014,0,0,0,1,328,8,245,4824,1,15595,183,750549,3,2062,28,340,734262
Narmada,0,67,4,1,847,1,185,7,3,30,8,0,17,25,13,126309,8,42827,19,31,13,137,44,89,0,181675,636,8139,0,1,0,0,301,0,87,627,3,12539,39,181723,0,1070,41,94,169136
Hardoi,1,35,5,7721,1395,11,492,3,4,342,1,0,2,1,452,612686,0,46,360,112,13,216,15,20,0,805153,2525,168,6,0,0,50,108,4,1807,114,2,17101,14,805503,6,175366,472,928,788052
Panipat,3,231,4,353,22170,1067,660,9,5,14077,5,0,1,1,9583,70898,3,434,137932,1033,288,1380,101,156,0,351226,1241,1007,4,9,4,7,833,2,11273,4395,4,142396,225,365322,3,78171,2487,5263,208830
Vaishali,0,33,8,273,142105,5,14,1,1,276,6,1,0,1,115,546283,0,1104,18,2,6,2427,18,21,0,695958,132,86,10,10,4,10,144,0,50,43,9,7570,7,696243,0,1317,21,1682,688388
Belgaum,18,5262,18,241,829,186,73,41,21,689,533,6,5,1,588,1156204,4059,2181,358,195,356,197,221383,2114,1,1606561,624,201359,22,38,6,49,403,20,706,3176,25,228974,2338,1607855,23,2465,147,891,1377587
Kaithal,0,64,0,75,10946,526,349,7,2,7996,2,0,0,0,1376,90516,0,80,135064,286,86,129,15,36,0,283597,323,117,3,1,0,0,29,0,30597,2315,1,58017,15,291604,4,9810,522,312,225580
North_Cachar_Hills,1,37,42,17640,837,2,1,0,1,794,0,0,1,0,26,37740,0,12,36,57,22,58,8,46,0,60078,30,14,551,620,134,326,44,0,48,93,24,4698,24,60873,790,222,48,544,55380
Khagaria,35,10,9,99,124648,2,46,14,7,151,12,1,0,0,85,178261,0,241,20,6,26,1271,19,4,1,306811,52,42,3,0,1,1,82,0,34,61,1,3902,21,306997,2,652,6,1070,302909
Kanker,5,230,2,118,401,28,54122,2,0,7049,0,0,3,0,83,144857,0,145,41,4,14,142,177,77,3,211068,2190,2166,1,3,1,0,1502,0,108,321,2,12089,57,218119,9,1021,99,3136,198979
West_Midnapore,83,6153,34,1590,15726,117,1282,24,51,15967,36,2,1,7,962,2409841,23,1296,458,58,288,31860,433,400,1,2734215,921,1725,33,83,14,48,44864,13,916,1559,38,119081,739,2750295,247,6954,155,205293,2615134
Tonk,12,135,28,35,783,33,43,28,1,426,5,6,0,0,762,224296,0,389,369,61,36,101,38,157,0,337162,1631,196,14,12,12,11,97,0,181,104751,10,8115,45,337628,66,2373,153,332,329047
Parbhani,0,2927,0,8,85,7,55,3,1,92,1,0,3,0,43,363454,1,623,71,3,12,31,847,121,0,519453,318,149403,5,9,0,0,26,0,38,709,3,6596,154,519550,0,345,8,144,512857
Ballia,1,16,0,309,38701,6,182,54,2,163,15,5,0,1,122,617345,1,148,65,8,20,771,16,22,0,722148,262,168,15,1,0,13,90,1,50,38,2,42822,16,722387,8,61981,100,1669,679326
Kapurthala,5,183,6,332,11123,965,387,38,63,13872,105,5,1,0,1771,114921,3,285,5212,3557,1789,818,111,178,0,295357,1141,735,10,7,7,14,354,15,133412,2071,6,47024,99,309440,4,11038,1363,3434,248333
Kollam,55,421,37,102,82,14,170,45,30,4278,40,4,1,0,263,392847,66,307,34,12,67,49,753,126663,11,537735,182,1044,15,13,13,27,139,30,90,154,4,18225,13319,542136,2,198,11,540,519510
Badgam,1,71,0,26,389,23,10,0,11,23,2,0,0,0,56,67490,0,79,159,65,12418,76,61,37,0,83052,259,208,7,1,0,0,49,0,203,118,1,3144,57,83088,2,837,64,285,79908
North_Tripura,0,37,71,12147,903,5,4,0,0,36387,8,0,0,0,35,89426,0,8,26,16,25,1011,8,40,0,151418,41,33,96,453,28135,99,57,0,29,163,21,44290,30,187813,17702,201,26,570,107128
Dhemaji,0,3,1028,61607,2043,2,2,2,1,1272,0,1,0,0,10,104836,0,4,32,4,7,33,5,48,0,173070,13,13,81,363,12,51,55,0,21,194,5,6627,15,174346,687,912,3,981,166443
Kupwara,0,8,0,5,38,4,0,0,0,34,0,0,0,0,8,61567,0,1,22,11,4996,24,1,4,0,67241,4,19,0,1,0,0,9,0,62,15,0,678,1,67275,0,157,35,249,66563
Sehore,0,69,0,13,309,4,869,1,1,375,0,0,0,0,110,184145,0,267,177,13,7,46,26,119,0,318027,125819,1223,1,0,0,0,56,0,69,1095,0,8063,54,318404,0,3234,70,232,309964
West_Sikkim,0,5,37,135,944,0,2,10,0,2157,0,0,0,0,74,16511,0,1,45,10,2,11,2,15,0,26301,8,1,129,25,0,16,4,0,2,32,4503,5287,1,28468,5,274,12,3495,21014
Raipur,19,5522,14,523,11962,381,265068,21,13,7533,12,3,10,0,1195,638744,92,4070,1405,239,3859,4524,608,1584,8,1080656,35284,22252,14,16,3,37,44863,7,4191,5209,10,176844,933,1088238,41,17725,417,9827,903812
Dhar,0,519,1,34,3977,41,1554,1,0,388,0,2,0,0,123,373770,3,1372,196,34,28,373,110,466,0,550573,151485,3841,0,0,0,0,936,0,230,3185,1,25318,99,550964,9,7226,278,682,525255
Lahul_and_Spiti,0,7,2,8,75,7,5,0,0,2245,0,0,0,0,13,7190,2,0,45,2475,109,134,3,6,0,10466,13,5,0,0,0,0,15,0,106,15,5,801,5,12711,0,119,75,27,9665
Zunheboto,0,4,3,332,220,0,2,25,8,77,3,0,0,0,1,26843,0,19,9,9,9,32,14,44,0,29609,9,43,71,17,6,1439,46,0,28,70,1,1327,27,29722,16,102,99,94,28282
Dhenkanal,1,176,7,61,474,16,404,0,4,67,3,4,0,0,71,230889,0,37,40,10,17,563,18,36,0,300318,95,82,7,9,0,1,66019,1,51,171,2,3410,112,300396,1,298,2,647,296908
Thrissur,50,1170,34,93,226,21,178,66,59,6317,122,7,1,1,564,812958,89,741,69,15,52,131,2505,175059,58,1019543,314,4609,3,17,6,27,268,141,122,324,5,31526,18561,1026119,22,359,30,720,988017
South_Tripura,2,16,17,782,352,0,0,2,0,75446,0,0,0,0,10,113205,0,6,33,22,114,387,24,33,0,142234,17,36,40,41,70,28,155,0,36,134,10,3288,48,217682,25741,173,19,683,138946
Gajapati,2,16440,99,113,45,0,111,1,2,673,1,1,0,1,12,91443,0,10,5,6,6,97,28,24,0,127533,40,75,1,4,0,4,18390,1,11,23,1,17700,52,128211,4,42,3,440,109833
Chandigarh,83,1593,74,2261,30948,0,2618,360,330,9700,314,58,8,7,19789,13855,105,2574,85231,53211,6261,2772,2406,1525,0,568329,3135,4408,631,238,85,113,1548,65,149718,8694,74,554474,3826,579107,78,134260,26496,9639,13855
Aurangabad_(Maharashtra),21,8443,14,167,2594,106,446,71,29,954,28,0,8,7,920,644634,172,3815,791,153,310,395,4433,1912,0,1138453,4855,446827,28,30,4,7,578,10,907,4608,9,46992,1293,1139535,24,8048,327,1557,1091461
Mau,2,24,1,146,3924,4,64,14,15,816,2,21,0,1,77,278555,6,143,73,5,6,2153,16,47,0,430934,169,444,11,1,1,31,93,0,52,110,1,9187,418,431802,7,143192,108,1049,421747
Sikar,1,133,34,749,923,74,67,13,13,1175,5,8,3,1,2151,415220,10,1899,10017,72,135,435,107,257,0,649170,957,2489,30,22,1,58,212,10,1155,207446,6,26504,121,650384,16,3143,198,1018,622666
Jabalpur,15,2780,47,500,6852,200,12388,58,19,4094,9,4,3,0,1597,273100,152,2139,1534,557,823,1174,1039,2854,1,551304,182463,15762,27,70,20,46,1021,9,3483,2530,46,95741,1472,555489,57,29730,1231,5582,455563
Aurangabad_(Bihar),1,18,0,28,87569,8,340,4,0,47,13,31,1,0,68,389847,0,263,240,3,8,32793,22,63,0,513650,129,383,1,2,2,5,121,1,43,92,4,36234,7,513745,0,804,11,773,477416
Guntur,17,232866,12,33,238,4,32,14,70,1187,10,11,1,0,158,1035666,16,233,49,16,68,33,1326,973,0,1281292,149,879,113,11,2,3,629,37,79,2153,0,12760,4811,1282584,6,365,19,295,1268532
Katni,2,384,0,42,2192,24,3816,3,0,2437,0,1,0,0,184,184753,2,272,217,44,34,709,212,214,0,320359,111050,1770,0,6,0,1,365,1,332,560,0,24556,113,322800,0,11902,158,1000,295803
Medak,25,158541,13,118,2046,23,156,5,79,411,7,3,0,0,225,645201,11,586,97,17,52,82,18844,1477,0,845320,466,5676,24,3,0,5,6495,35,258,814,7,41578,1914,845825,1,1403,82,623,803742
Mandya,5,2160,17,18,98,2,20,7,7,87,11,1,1,0,49,425335,15,271,37,14,14,17,141270,1693,0,581652,49,365,5,2,0,1,60,30,39,1818,5,15047,7857,581765,0,243,17,125,566605
Kannur,54,1332,24,175,155,34,67,101,40,5787,54,10,1,2,353,774672,86,503,121,27,127,95,8164,164037,98,971530,278,2919,8,17,3,28,574,5163,216,434,8,32821,10691,977522,3,594,54,413,938709
Dharwad,13,7112,9,64,413,47,49,53,32,270,128,14,5,6,377,275884,1210,1434,275,51,98,136,268331,1259,4,574450,328,9461,28,11,2,11,318,20,223,3543,5,30235,2480,574947,12,742,38,451,544215
Saharsa,0,407,3,281,90970,37,1076,5293,4,334,4,11,0,42,231,210012,3,64,5863,4,121,1257,9,4,0,350000,74,33,0,3,5,22,2574,4,303,67,0,49018,3,355646,1,35431,723,373,300982
West_Nimar,2,1147,0,57,898,12,888,4,0,187,0,0,1,1,122,352798,3,865,104,25,18,74,64,180,0,478384,109494,5701,1,1,0,1,511,0,152,1854,0,16092,117,478575,0,2905,50,338,462292
Balrampur,0,21,1,51,1130,12,538,7,17,3590,2,2,0,0,94,350170,4,124,79,5,1,447,145,25,0,415730,224,514,4,0,0,1,23,1,107,111,0,4798,29,419348,0,60762,89,1018,410932
Cuddalore,16,828,4,84,240,0,16,14,12,4051,28,2,1,0,102,539712,4,278,18,6,22,148,705,1541,0,670780,279,661,1,5,0,2,169,16041,33,258,1,21917,109151,674887,1,211,1,241,648863
Rae_Bareli,1,180,5,212,2671,53,5322,3,8,362,1,1,1,0,448,563568,5,297,295,153,106,702,68,309,0,740251,3719,629,17,13,3,36,441,0,378,329,0,18202,57,740626,7,158481,796,949,722049
Darjiling,52,573,157,12390,49772,185,529,21,29,67961,28,20,11,2,921,182999,20,634,2551,353,733,4202,506,746,0,372016,1164,1437,327,876,95,278,1138,5,1572,3895,3076,99075,552,440091,548,9056,719,89942,272941
Akola,5,1343,2,42,416,28,2405,11,10,1320,0,4,1,6,143,385097,26,2097,155,15,35,185,271,125,0,620848,7638,214397,5,2,2,2,448,1,125,2100,0,21354,239,622193,4,2906,39,543,599494
Wokha,0,32,10,1959,360,8,5,1,5,354,2,17,0,2,1,16971,0,4,18,9,8,177,9,61,0,23048,26,132,133,54,4,2525,55,2,11,115,2,3552,28,23427,19,103,55,150,19496
East_Nimar,0,626,4,45,1893,9,2531,6,0,1428,1,1,8,4,180,312382,23,1998,169,62,71,192,202,302,0,526543,121174,74644,2,1,21,0,212,0,221,2746,9,92987,186,527990,8,6026,118,474,433556
Cachar,11,130,148,34719,3329,38,15,0,3,20785,5,1,0,0,124,282800,0,60,223,36,98,273,84,215,0,336679,87,178,1626,1728,549,384,190,6,265,1078,14,19160,104,357473,5205,928,151,1883,317519
Balangir,1,1026,0,121,971,14,1768,4,1,97,0,6,0,1,41,317561,8,248,269,13,16,493,47,128,0,395264,320,304,12,2,0,0,70235,1,80,230,0,7468,187,395372,2,496,15,654,387796
Siwan,28,2564,1991,112849,68987,12,142,237,46,500,68,80,15,43,231,357780,22,252,792,47,112,44596,149,48,14,677593,169,11065,10,27,30,5709,310,5,1425,154,11,250826,110,678524,77,64161,1669,1987,426767
Aligarh,2,267,5,242,5332,79,229,31,16,1025,8,6,1,0,5810,378347,6,337,3307,90,618,509,114,125,2,718866,1612,636,66,8,1,1,373,1,802,2798,1,27457,65,719952,40,313062,1496,2482,691409
Jaunpur,3,122,4,77,5751,10,2939,35,17,160,14,133,3,2,308,769506,11,393,116,48,36,8025,69,118,0,1050061,1406,1712,6,7,6,3,136,7,155,134,0,23938,31,1050420,6,256617,157,2137,1026123
Yamunanagar,6,150,4,352,12352,2447,151,26,17,15501,9,1,12,1,4830,118680,5,283,96267,6684,1030,548,114,96,0,357734,724,819,18,10,1,7,328,3,29485,1997,2,142787,131,373288,2,68552,8404,3239,214947
Lakhimpur,0,14,1062,42079,3522,2,138,0,1,1519,0,0,0,0,27,137071,1,10,70,7,8,1033,1,28,0,189307,134,29,22,123,6,37,108,0,89,1070,15,10157,5,190827,181,830,9,1576,179150
Kawardha,0,18,0,12,114,33,38616,0,0,14,0,1,3,0,69,131312,1,358,62,7,11,77,7,17,0,182107,9283,489,0,0,0,0,108,0,20,58,0,12179,27,182122,0,1335,12,58,169928
